item,amount
|DafnyPreludebpl.524:15|,548
|funType:AsFuelBottom|,82
|funType:Tag|,72
|funType:TagFamily|,59
|funType:Lit|,25
|DafnyPreludebpl.89:29|,25
|funType:DatatypeCtorId|,16
|DafnyPreludebpl.223:15|,10
|DafnyPreludebpl.1419:51|,7
|cast:U_2_bool|,6
|DafnyPreludebpl.95:29|,6
|DafnyPreludebpl.141:18|,5
|DafnyPreludebpl.38:15|,5
|DafnyPreludebpl.77:15|,5
|funType:$Box|,5
|funType:TISet|,5
|DafnyPreludebpl.1418:51|,5
|typeInv:U_2_bool|,5
|funType:bool_2_U|,5
|funType:Inv0_TISet|,5
|typeInv:MapType0TypeInv0|,4
|typeInv:MapType0TypeInv1|,4
|ctor:MapType0Type|,4
|funType:$Unbox|,3
|DafnyPreludebpl.1312:21|,3
|DafnyPreludebpl.1302:21|,3
|funType:#ValueMessage.Message.Define|,3
|DafnyPreludebpl.1296:21|,3
|funType:IMap#Items|,3
|MessagesdfyValueMessage.17:14|,3
|DafnyPreludebpl.90:18|,3
|DafnyPreludebpl.1306:21|,3
|MessagesdfyValueMessage.17:14!401|,3
|DafnyPreludebpl.279:15|,3
|DafnyPreludebpl.1309:21|,3
|funType:IMap#Domain|,3
|DafnyPreludebpl.295:15|,3
|DafnyPreludebpl.1299:21|,3
|funType:IMap#Values|,3
|MessagesdfyValueMessage.17:14!398|,2
|typeInv:IMapTypeInv0|,2
|PagedBetreeidfy.49:15|,2
|DafnyPreludebpl.925:18|,2
|unknown.0:0!1370|,2
|DafnyPreludebpl.49:15|,2
|TotalMapsdfyTotalKMMapMod.11:27!463|,2
|DafnyPreludebpl.929:18|,2
|ctor:IMapType|,2
|unknown.0:0!1366|,2
|unknown.0:0!1360|,2
|DafnyPreludebpl.233:15|,2
|DafnyPreludebpl.50:15|,2
|funType:Tclass._System.Tuple2_1|,2
|PagedBetreeidfy.49:15!1085|,2
|funType:$LS|,2
|funType:Tclass._System.Tuple2_0|,2
|funType:Inv0_TIMap|,2
|MessagesdfyValueMessage.17:14!387|,2
|typeInv:IMapTypeInv1|,2
|funType:TIMap|,2
|DafnyPreludebpl.81:15|,2
|funType:Tclass._System.Tuple2|,2
|unknown.0:0!1887|,2
|funType:Inv1_TIMap|,2
|Buffersidfy.16:19!1676|,2
|unknown.0:0!956|,1
|ctor:FieldType|,1
|TotalMapsdfyTotalKMMapMod.11:27!457|,1
|TotalMapsdfyTotalKMMapMod.21:28!532|,1
|typeInv:MapType3TypeInv2|,1
|DafnyPreludebpl.1385:21|,1
|Buffersidfy.22:10|,1
|DafnyPreludebpl.40:15|,1
|funType:MapType0Select|,1
|funType:Tclass.StampedMod.Stamped_0|,1
|DafnyPreludebpl.1352:21|,1
|funType:#StampedMod.Stamped.Stamped|,1
k!2071,1
|funType:Seq#Empty|,1
|DafnyPreludebpl.797:18|,1
|Buffersidfy.17:12!1673|,1
|funType:PagedBetree.BetreeNode.buffers|,1
|funType:MultiSet#Empty|,1
|StampedMapidfy.18:33!607|,1
|PagedBetreeidfy.51:18!1084|,1
|funType:ValueMessage.Message.value|,1
|funType:ISet#Empty|,1
|unknown.0:0!384|,1
|typeInv:MapType3TypeInv3|,1
|Buffersidfy.15:20!1659|,1
|typeInv:FieldTypeInv0|,1
|funType:#ValueMessage.Message.Update|,1
|unknown.0:0!381|,1
|PagedBetreeidfy.69:5!1130|,1
|ctor:SeqType|,1
|DafnyPreludebpl.290:19|,1
|DafnyPreludebpl.282:19|,1
|funType:#PagedBetree.BetreeNode.BetreeNode|,1
|funType:Tclass.StampedMod.Stamped|,1
|PagedBetreeidfy.72:15!1188|,1
|unknown.0:0!1144|,1
|DafnyPreludebpl.79:15|,1
|funType:IMap#Empty|,1
|unknown.0:0!958|,1
|unknown.0:0!1115|,1
|PagedBetreeidfy.69:5!1160|,1
|typeInv:U_2_int|,1
|MessagesdfyValueMessage.18:14!423|,1
|PagedBetreeidfy.48:32!1036|,1
|unknown.0:0!549|,1
|PagedBetreeidfy.48:32!1040|,1
|typeInv:MapType3TypeInv1|,1
|unknown.0:0!1042|,1
|funType:PagedBetree.ChildMap.mapp|,1
|ctor:MapType3Type|,1
|funType:lambda#138|,1
|funType:DeclName|,1
|PagedBetreeidfy.72:15|,1
|StampedMapidfy.18:33!614|,1
|unknown.0:0!1030|,1
|unknown.0:0!1866|,1
|funType:lambda#89|,1
|typeInv:MapType6TypeInv1|,1
|PagedBetreeidfy.48:32!1051|,1
|PagedBetreeidfy.48:32|,1
|DafnyPreludebpl.891:18|,1
|DafnyPreludebpl.287:15|,1
|DafnyPreludebpl.1358:15|,1
|MessagesdfyValueMessage.18:14!418|,1
|unknown.0:0!551|,1
|PagedBetreeidfy.69:5!1137|,1
|funType:lambda#10|,1
|typeInv:SeqTypeInv0|,1
|funType:#PagedBetree.ChildMap.ChildMap|,1
|unknown.0:0!583|,1
|funType:StampedMod.Stamped.value|,1
|PagedBetreeidfy.48:32!1055|,1
|MessagesdfyValueMessage.18:14!421|,1
|unknown.0:0!1141|,1
k!2072,1
|unknown.0:0!1058|,1
|TotalMapsdfyTotalKMMapMod.21:28!521|,1
|typeInv:MapType6TypeInv0|,1
|DafnyPreludebpl.1380:21|,1
|ctor:MapType6Type|,1
|funType:IMap#Glue|,1
|unknown.0:0!1024|,1
|Buffersidfy.22:10!1697|,1
|PagedBetreeidfy.51:18|,1
|MessagesdfyValueMessage.18:14|,1
|DafnyPreludebpl.225:11|,1
|PagedBetreeidfy.69:5|,1
|funType:Inv0_TSeq|,1
|PagedBetreeidfy.69:5!1156|,1
|StampedMapidfy.18:33!609|,1
|funType:ValueMessage.Message.delta|,1
