item,amount
|funType:MapType0Select|,110
|cast:U_2_bool|,109
|funType:$Unbox|,107
|DafnyPreludebpl.225:11|,103
|DafnyPreludebpl.282:19|,101
|DafnyPreludebpl.1323:20|,98
|DafnyPreludebpl.1340:15|,98
|PagedBetreeidfy.48:32!1055|,98
|DafnyPreludebpl.290:19|,97
|DafnyPreludebpl.1325:10|,97
|funType:_System.Tuple2._0|,97
|DafnyPreludebpl.720:18|,96
|DafnyPreludebpl.1347:21|,96
|funType:AsFuelBottom|,82
|funType:Tag|,72
|funType:TagFamily|,59
|DafnyPreludebpl.89:29|,26
|funType:Lit|,26
|funType:DatatypeCtorId|,18
|DafnyPreludebpl.223:15|,13
|DafnyPreludebpl.141:18|,13
|funType:$Box|,13
|DafnyPreludebpl.181:18|,11
|DafnyPreludebpl.1419:51|,11
|ctor:MapType0Type|,6
|DafnyPreludebpl.1383:35|,6
|DafnyPreludebpl.925:18|,6
|DafnyPreludebpl.233:15|,6
|typeInv:MapType0TypeInv1|,6
|KeyTypesdfy.10:8!1016|,6
|DafnyPreludebpl.929:18|,6
|typeInv:MapType0TypeInv0|,6
|DafnyPreludebpl.95:29|,6
|TotalMapsdfyTotalKMMapMod.22:12!530|,5
|TotalMapsdfyTotalKMMapMod.15:20!477|,5
|TotalMapsdfyTotalKMMapMod.28:10|,5
|DafnyPreludebpl.77:15|,5
|TotalMapsdfyTotalKMMapMod.22:12!520|,5
|unknown.0:0!1865|,5
|PagedBetreeidfy.59:17|,5
|TotalMapsdfyTotalKMMapMod.17:21!496|,5
|typeInv:U_2_bool|,5
|TotalMapsdfyTotalKMMapMod.22:12!527|,5
|unknown.0:0!1519|,5
|DafnyPreludebpl.1418:51|,5
|TotalMapsdfyTotalKMMapMod.28:10!541|,5
|funType:Inv0_TISet|,5
|unknown.0:0!826|,5
|DafnyPreludebpl.38:15|,5
|funType:bool_2_U|,5
|funType:TISet|,5
|DafnyPreludebpl.1382:36|,5
|TotalMapsdfyTotalKMMapMod.22:12|,5
|DafnyPreludebpl.1296:21|,4
|funType:#ValueMessage.Message.Define|,4
|DafnyPreludebpl.295:15|,4
|DafnyPreludebpl.1312:21|,4
|DafnyPreludebpl.1309:21|,4
|DafnyPreludebpl.1306:21|,4
|DafnyPreludebpl.279:15|,4
|funType:IMap#Values|,4
|MessagesdfyValueMessage.17:14!401|,4
|DafnyPreludebpl.1299:21|,4
|funType:IMap#Domain|,4
|DafnyPreludebpl.1302:21|,4
|MessagesdfyValueMessage.17:14|,4
|funType:IMap#Items|,4
|DafnyPreludebpl.352:15|,3
|typeInv:IMapTypeInv1|,3
|DafnyPreludebpl.90:18|,3
|MessagesdfyValueMessage.17:14!387|,3
|typeInv:IMapTypeInv0|,3
|ctor:IMapType|,3
|funType:Inv0_TIMap|,2
|unknown.0:0!1359|,2
|DafnyPreludebpl.81:15|,2
|unknown.0:0!384|,2
|funType:Tclass._System.Tuple2_0|,2
|funType:Tclass._System.Tuple2|,2
|TotalMapsdfyTotalKMMapMod.11:27!457|,2
|unknown.0:0!1365|,2
|MessagesdfyValueMessage.17:14!398|,2
|unknown.0:0!381|,2
|PagedBetreeidfy.48:32!1051|,2
|funType:Tclass._System.Tuple2_1|,2
|unknown.0:0!1369|,2
|unknown.0:0!1886|,2
|funType:TIMap|,2
|DafnyPreludebpl.49:15|,2
|funType:Inv1_TIMap|,2
|TotalMapsdfyTotalKMMapMod.11:27!463|,2
|DafnyPreludebpl.50:15|,2
|PagedBetreeidfy.69:5!1137|,1
|PagedBetreeidfy.72:15|,1
|unknown.0:0!1042|,1
|funType:_System.Tuple2._1|,1
|funType:ValueMessage.Message.value|,1
|StampedMapidfy.18:33!611|,1
|DafnyPreludebpl.1352:21|,1
|PagedBetreeidfy.69:5!1160|,1
|funType:#_System._tuple#2._#Make2|,1
|cast:U_2_int|,1
|funType:ISet#Empty|,1
|unknown.0:0!958|,1
k!2071,1
|unknown.0:0!1420|,1
|unknown.0:0!1381|,1
|MessagesdfyValueMessage.18:14|,1
|typeInv:U_2_int|,1
|unknown.0:0!1058|,1
|unknown.0:0!1141|,1
|funType:PagedBetree.BetreeNode.children|,1
|funType:Tclass.StampedMod.Stamped|,1
|typeInv:MapType3TypeInv0|,1
|MessagesdfyValueMessage.18:14!421|,1
|StampedMapidfy.18:33|,1
|unknown.0:0!1030|,1
|DafnyPreludebpl.1385:21|,1
|funType:lambda#10|,1
|unknown.0:0!1423|,1
|PagedBetreeidfy.69:5!1156|,1
|typeInv:MapType6TypeInv1|,1
|unknown.0:0!1411|,1
|funType:#PagedBetree.BetreeNode.BetreeNode|,1
|PagedBetreeidfy.48:32|,1
|PagedBetreeidfy.69:5!1152|,1
|funType:#ValueMessage.Message.Update|,1
|PagedBetreeidfy.48:32!1040|,1
|ctor:MapType|,1
|PagedBetreeidfy.48:32!1045|,1
|DafnyPreludebpl.287:15|,1
|MessagesdfyValueMessage.18:14!418|,1
|DafnyPreludebpl.797:18|,1
|funType:Map#Glue|,1
|Buffersidfy.16:19!1675|,1
|PagedBetreeidfy.69:5!1130|,1
|typeInv:MapType3TypeInv2|,1
|funType:Tclass.StampedMod.Stamped_0|,1
|unknown.0:0!1163|,1
|funType:int_2_U|,1
|funType:$LS|,1
|StampedMapidfy.18:33!609|,1
|funType:MultiSet#FromSeq|,1
|funType:ValueMessage.Message.delta|,1
|funType:IMap#Empty|,1
|DafnyPreludebpl.1358:15|,1
|funType:#StampedMod.Stamped.Stamped|,1
|MessagesdfyValueMessage.18:14!410|,1
|funType:DeclName|,1
|funType:Inv0_TSeq|,1
|unknown.0:0!426|,1
k!2070,1
|PagedBetreeidfy.69:5|,1
|unknown.0:0!1144|,1
|TotalMapsdfyTotalKMMapMod.21:28!521|,1
|funType:IMap#Glue|,1
|ctor:MapType3Type|,1
|PagedBetreeidfy.48:32!1048|,1
|unknown.0:0!551|,1
|unknown.0:0!1373|,1
|funType:TSeq|,1
|funType:lambda#5|,1
|unknown.0:0!1360|,1
|unknown.0:0!1350|,1
|funType:lambda#4|,1
|StampedMapidfy.18:33!614|,1
|MessagesdfyValueMessage.18:14!423|,1
|unknown.0:0!1115|,1
|typeInv:MapType3TypeInv3|,1
|funType:IMap#Elements|,1
|unknown.0:0!583|,1
|TotalMapsdfyTotalKMMapMod.21:28!532|,1
|funType:lambda#89|,1
|funType:lambda#138|,1
|funType:MultiSet#Empty|,1
|typeInv:SeqTypeInv0|,1
|ctor:SeqType|,1
|PagedBetreeidfy.69:5!1154|,1
|PagedBetreeidfy.72:15!1188|,1
|typeInv:FieldTypeInv0|,1
|DafnyPreludebpl.40:15|,1
|unknown.0:0!956|,1
|funType:PagedBetree.ChildMap.mapp|,1
|unknown.0:0!549|,1
|unknown.0:0!1024|,1
|typeInv:MapType6TypeInv0|,1
|PagedBetreeidfy.48:32!1036|,1
|DafnyPreludebpl.79:15|,1
|typeInv:MapType3TypeInv1|,1
|funType:Seq#Empty|,1
|funType:StampedMod.Stamped.value|,1
|unknown.0:0!1415|,1
|unknown.0:0!1121|,1
|typeInv:MapTypeInv1|,1
|ctor:MapType6Type|,1
|funType:PagedBetree.BetreeNode.buffers|,1
|ctor:FieldType|,1
|typeInv:MapTypeInv0|,1
|StampedMapidfy.18:33!607|,1
|DafnyPreludebpl.891:18|,1
|funType:#PagedBetree.ChildMap.ChildMap|,1
|DafnyPreludebpl.1355:21|,1
|DafnyPreludebpl.1380:21|,1
